posting_id,공사명,종목,대업종,발주처,지역약칭,기초금액,추정가격,예정가격,예정가격사정률,1순위금액,1순위사정률,1순위업체,참여업체수,개찰일,검색지역,연차구분
[R25BK00621413-000],기초 A값 수의 관내 2025년 1분기 고현지구 하수도 준설공사 [R25BK00621413-000],상.하수도,상.하수도,경상남도 거제시,거제,"78,210,000","71,100,000","77,610,375",-0.76669,"71,150,000",3.09314,주식회사 미래환경산업,3,25/02/14 11:00,경남,1~2년전
[R25BK00623792-000],기초 A값 수의 관내 2025년 상반기 하수도시설물 긴급보수공사 단가계약(10구역) [R25BK00623792-000],상.하수도,상.하수도,경상남도 김해시,김해,"79,992,000","72,720,000","79,289,125",-0.87869,"69,975,636",-0.74421,주식회사 태은건설,55,25/02/13 17:00,경남,1~2년전
[R25BK00623777-000],기초 A값 수의 관내 2025년 상반기 하수도시설물 긴급보수공사 단가계약(9구역) [R25BK00623777-000],상.하수도,상.하수도,경상남도 김해시,김해,"79,992,000","72,720,000","80,234,225",0.30281,"70,725,890",0.32470,태경건설 주식회사,55,25/02/13 17:00,경남,1~2년전
[R25BK00623752-000],기초 A값 수의 관내 2025년 상반기 하수도시설물 긴급보수공사 단가계약(8구역) [R25BK00623752-000],상.하수도,상.하수도,경상남도 김해시,김해,"79,992,000","72,720,000","79,802,275",-0.23718,"70,366,000",-0.18804,성우이앤씨주식회사,55,25/02/13 17:00,경남,1~2년전
[R25BK00623736-000],기초 A값 수의 관내 2025년 상반기 하수도시설물 긴급보수공사 단가계약(7구역) [R25BK00623736-000],상.하수도,상.하수도,경상남도 김해시,김해,"79,992,000","72,720,000","79,549,500",-0.55319,"70,111,593",-0.55050,동일건설 주식회사,55,25/02/13 17:00,경남,1~2년전
[R25BK00623725-000],기초 A값 수의 관내 2025년 상반기 하수도시설물 긴급보수공사 단가계약(6구역) [R25BK00623725-000],상.하수도,상.하수도,경상남도 김해시,김해,"79,992,000","72,720,000","79,552,925",-0.54890,"70,114,400",-0.54651,웅진이디티 주식회사,55,25/02/13 17:00,경남,1~2년전
[R25BK00623711-000],기초 A값 수의 관내 2025년 상반기 하수도시설물 긴급보수공사 단가계약(5구역) [R25BK00623711-000],상.하수도,상.하수도,경상남도 김해시,김해,"79,992,000","72,720,000","80,218,425",0.28305,"70,728,890",0.32897,태경건설 주식회사,55,25/02/13 17:00,경남,1~2년전
[R25BK00623687-000],기초 A값 수의 관내 2025년 상반기 하수도시설물 긴급보수공사 단가계약(4구역) [R25BK00623687-000],상.하수도,상.하수도,경상남도 김해시,김해,"79,992,000","72,720,000","79,667,875",-0.40520,"70,249,900",-0.35345,동광종합건설 주식회사,55,25/02/13 17:00,경남,1~2년전
[R25BK00623667-000],기초 A값 수의 관내 2025년 상반기 하수도시설물 긴급보수공사 단가계약(3구역) [R25BK00623667-000],상.하수도,상.하수도,경상남도 김해시,김해,"79,992,000","72,720,000","79,468,325",-0.65466,"70,064,736",-0.61726,주식회사수로건설,55,25/02/13 17:00,경남,1~2년전
[R25BK00623630-000],기초 A값 수의 관내 2025년 상반기 하수도시설물 긴급보수공사 단가계약(2구역) [R25BK00623630-000],상.하수도,상.하수도,경상남도 김해시,김해,"79,992,000","72,720,000","79,861,450",-0.16321,"70,398,033",-0.14241,한국건설산업 주식회사,55,25/02/13 17:00,경남,1~2년전
